146.3502,-37.4353,2005,9,1,1,10,9,59,54
146.3506,-37.6978,2005,9,1,1,10,11,44,16
146.0775,-37.4658,2005,10,19,1.2,26.54,9,7,6
146.0389,-37.4855,2005,10,19,1.2,10,9,7,26
146.4693,-37.8719,2005,10,22,1.7,9.7,20,14,48
146.4072,-37.4572,2005,11,3,4,10,13,18,25
146.3194,-37.2194,2005,12,16,1.3,10,15,55,33
146.0204,-37.7721,2006,1,10,0.6,10,11,40,33
146.4604,-37.1363,2006,2,28,0.6,10,21,53,57
146.2597,-37.8685,2006,3,3,2.8,10,0,7,30
146.3878,-37.0766,2006,3,23,3,10,3,35,42
146.3497,-37.8085,2006,5,8,3.5,10,14,17,4
146.771,-37.6621,2006,5,15,3.7,10,20,39,12
146.277,-37.1483,2006,9,7,1.7,10,8,47,34
146.309,-37.6597,2006,9,19,4.5,10,2,27,17
146.0673,-37.3239,2006,11,29,1.3,10,4,0,3
146.5414,-37.8668,2006,12,12,0,10,13,32,26
146.1658,-37.4662,2007,1,7,1.2,10,15,37,5
146.2429,-37.3246,2007,2,7,1.4,10,2,23,30
146.6785,-37.1279,2007,2,15,3.3,10,18,37,5
146.1965,-37.6381,2007,2,23,1.6,2.3,0,48,7
146.2868,-37.3511,2007,3,9,1.3,10,13,36,37
146.2878,-37.539,2007,4,5,1.5,10,4,1,24
146.094,-37.6943,2007,6,5,0,10,20,6,51
146.1467,-37.8246,2007,6,8,1.6,10,12,32,30
146.0377,-37.6896,2007,7,30,1.5,10,3,55,12
146.5598,-37.8638,2007,8,3,1.2,10,23,29,15
146.1079,-37.8897,2007,8,21,2.7,11.91,3,5,41
146.1299,-37.8133,2007,9,6,1.1,10,20,53,6
146.5559,-37.9179,2007,10,12,2.5,1.77,1,35,21
146.5619,-37.9118,2007,10,12,2.5,5.09,1,39,26
146.3864,-37.6401,2007,10,13,2.2,7.07,8,3,16
146.5408,-37.897,2007,11,5,0.9,10,17,3,52
146.38,-37.8781,2007,11,13,0.8,10,16,21,41
146.4441,-37.7647,2007,11,25,1.2,10,3,40,9
146.3734,-37.5302,2007,12,6,1.3,10,7,15,55
146.4595,-37.6729,2007,12,7,0.1,10,18,9,20
146.5484,-37.8099,2008,1,15,0,3.63,1,32,34
146.6113,-37.8035,2008,1,17,-1.8,10,5,32,44
146.4528,-37.8203,2008,3,1,1.1,10,23,25,23
146.3751,-37.8223,2008,3,4,1.3,10,11,45,54
146.3902,-37.677,2008,5,2,0.9,10,5,15,7
145.8398,-37.5332,2008,5,20,1.3,10,19,33,24
146.3796,-37.5358,2008,5,24,0.3,10,0,26,24
146.4373,-37.0889,2008,10,1,1,10,21,24,48
146.4392,-37.8421,2008,10,10,0.8,10,20,35,2
146.2444,-37.8806,2008,12,3,4,10,2,39,44
146.2119,-37.2195,2008,12,7,1.6,10,4,43,19
146.544,-37.7251,2008,12,11,1.7,5.89,5,47,21
146.3498,-37.8085,2008,12,18,3.2,10,7,54,1
146.3964,-37.7045,2009,1,4,1.2,10,18,17,0
146.4183,-37.4429,2009,1,13,3.4,10,5,49,43
146.4105,-37.9192,2009,1,15,4.6,10,0,27,58
146.6054,-37.0958,2009,2,13,1.4,10,6,43,52
146.0408,-37.3683,2009,3,2,2.1,10,16,40,59
146.5572,-37.7992,2009,3,10,0.8,10,23,38,9
145.9881,-37.3813,2009,4,9,1.9,10,17,34,11
146.4078,-37.4941,2009,4,10,2.2,10,10,18,26
146.4234,-37.6909,2009,4,17,0.6,10,15,16,51
146.6691,-37.5802,2009,4,20,3.8,10,21,9,52
146.2182,-37.377,2009,5,2,2.9,10,14,10,30
146.4624,-37.5178,2009,5,3,1.9,10,19,14,4
146.1149,-37.225,2009,5,3,1.9,10,19,14,6
146.7807,-37.2771,2009,5,5,3.7,10,22,31,58
146.0416,-37.8524,2009,5,19,3.8,10,0,30,40
145.9907,-37.4271,2009,6,2,4,10,7,7,9
146.4123,-37.3899,2009,6,5,0.8,10,8,30,35
146.4768,-37.8733,2009,6,18,1.3,9.06,9,6,47
146.4461,-37.3755,2009,6,18,1,10,11,19,4
146.4199,-37.8429,2009,6,27,1.2,14.04,20,29,52
146.1902,-37.1243,2009,7,1,1.8,10,14,3,8
146.3376,-37.3089,2009,8,17,1.9,10,10,20,52
146.6291,-37.8549,2009,8,24,3.2,10,5,58,30
146.1673,-37.6491,2009,9,18,3.8,10,0,17,25
146.5185,-37.8565,2009,10,13,1.5,10,8,54,2
146.4701,-37.8537,2009,10,20,2.7,10,1,29,45
146.1366,-37.1678,2009,11,2,2.9,10,22,4,15
146.3551,-37.8845,2009,11,4,0.5,10,16,49,58
146.9146,-37.4543,2009,11,14,2.8,10,21,59,11
146.7981,-37.2067,2009,12,5,1.2,10,7,4,2
146.7086,-37.5554,2009,12,28,2.1,10,12,23,56
146.0419,-37.3922,2010,1,5,0.6,10,9,6,33
146.3494,-37.8082,2010,1,10,0,10.96,15,26,39
146.1877,-37.1644,2010,1,26,2.6,10,16,20,29
146.0627,-37.3061,2010,2,5,1.3,15.93,23,28,46
146.3989,-37.3121,2010,2,28,2.7,10,5,8,43
146.146,-37.5765,2010,3,9,2.4,10,4,14,25
146.3691,-37.3481,2010,3,16,0.9,10,7,39,17
